pos_team,go_rate,n_should_go,wp_lost
Air Force,0.9333333333333332,15,4.178831274491026
Akron,0.6,5,5.2799345932337864
Alabama,0.4,15,42.169158733043496
Appalachian State,0.6470588235294117,17,22.66010790625568
Arizona,0.5714285714285715,14,36.72046380999532
Arizona State,0.5,12,24.455103794138903
Arkansas,0.5833333333333334,12,20.806241820105143
Arkansas State,0.6,15,20.540355283401507
Army,0.7391304347826088,23,21.314906647170172
Auburn,0.5714285714285715,21,36.507549473547506
Ball State,0.5714285714285715,7,17.491418012585584
Baylor,0.9166666666666667,12,15.25174110507932
Boise State,0.5454545454545454,11,25.95183667467124
Boston College,0.6666666666666667,12,16.65120171088954
Bowling Green,0.7,10,12.17070168534756
Buffalo,0.7692307692307692,13,16.465393765733122
BYU,0.8571428571428571,14,8.238054177463722
California,0.6666666666666667,15,18.1307136972532
Central Michigan,0.7,10,13.490242771792865
Charlotte,0.8333333333333333,12,12.627636722056064
Cincinnati,1,2,5.604456320144309
Clemson,0.5,10,14.409249205016032
Coastal Carolina,0.42857142857142855,7,19.788300045277722
Colorado,0.5714285714285715,7,22.519941403179804
Colorado State,0.55,20,35.44667621077161
Connecticut,0.36363636363636365,11,26.594588825829973
Duke,0.5833333333333334,12,19.067626831607246
East Carolina,0.55,20,37.48988954364222
Eastern Michigan,0.6666666666666667,15,35.01706679549093
Florida,0.5,16,25.14051613597013
Florida Atlantic,0.33333333333333337,12,22.04529271709887
Florida International,0.14285714285714288,7,39.33464620283112
Florida State,0.5294117647058824,17,32.66690476607836
Fresno State,0.25,8,20.535131745856606
Georgia,0.16666666666666669,6,19.691077719600457
Georgia Southern,0.7142857142857143,7,10.917534660294132
Georgia State,0.7272727272727273,11,7.638576993066985
Georgia Tech,0.8,5,10.994032167609236
Hawai'i,0.16666666666666669,12,32.84107346812905
Houston,0.6666666666666667,15,24.377997165151623
Illinois,0.26666666666666666,15,43.90992830415175
Indiana,0.6153846153846154,13,27.110098120715953
Iowa,0.41666666666666663,12,33.40089372924875
Iowa State,0.5,20,31.15536350615296
Kansas,0.7857142857142857,14,10.245582893376534
Kansas State,0.4615384615384615,13,21.275559115256925
Kent State,0.5,14,31.887550575409335
Kentucky,0.875,8,7.638337250528882
Liberty,0.6666666666666667,6,6.189598677898429
Louisiana,0.6363636363636364,11,12.8428962247081
Louisiana Monroe,0.5,10,18.50409118515719
Louisiana Tech,0.8125,16,27.99662520002236
Louisville,0.5294117647058824,17,32.85195692956776
LSU,0.6666666666666667,18,24.63465875860126
Marshall,0.5833333333333334,12,27.669615699107563
Maryland,0.35714285714285715,14,29.0209674850854
Memphis,0.736842105263158,19,22.833063714870473
Miami,0.6,15,30.440751221049492
Miami (OH),0.38888888888888884,18,37.92922131180378
Michigan,0.8,15,12.90525247105548
Michigan State,0.75,12,17.641206088361045
Middle Tennessee,0.8571428571428571,7,10.128222962521983
Minnesota,0.33333333333333337,15,42.40399867549398
Mississippi State,0.625,8,17.556656498789643
Missouri,0.5555555555555556,9,15.329964072555377
Navy,0.6666666666666667,12,25.720545172039245
NC State,0.15384615384615385,13,49.113535740397865
Nebraska,0.4705882352941177,17,32.023316702351075
Nevada,0.5384615384615384,13,20.35757103708706
New Mexico,0.5714285714285715,14,18.589547133231402
New Mexico State,0.2,5,19.21123416306028
North Carolina,0.4736842105263158,19,30.973607388775726
North Texas,0.75,12,16.84536094941319
Northern Illinois,0.6153846153846154,13,22.340793149874077
Northwestern,0.7142857142857143,7,11.210532216250003
Notre Dame,0.7142857142857143,7,10.62576016524747
Ohio,0.75,12,18.364763173909186
Ohio State,0.8181818181818181,11,16.568985716228003
Oklahoma,0.6666666666666667,9,14.54147998815124
Oklahoma State,0.33333333333333337,12,38.42110758999587
Old Dominion,0.33333333333333337,9,19.967365598203617
Ole Miss,0.736842105263158,19,16.555434423522055
Oregon,0.5833333333333334,12,18.54023969435432
Oregon State,0.7,10,15.435455844415266
Penn State,0.6153846153846154,13,27.411832786504473
Pittsburgh,0.6923076923076923,13,14.217448120374476
