id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread
401112139,Texas Tech,45,Montana State,10,consensus,60,-28,Texas Tech -28
401112435,Boston College,35,Virginia Tech,28,Caesars,57,4.5,Virginia Tech -4.5
401112435,Boston College,35,Virginia Tech,28,consensus,57.5,4.5,Virginia Tech -4.5
401112435,Boston College,35,Virginia Tech,28,numberfire,58,4.5,Virginia Tech -4.5
401112435,Boston College,35,Virginia Tech,28,teamrankings,56.5,4.5,Virginia Tech -4.5
401117495,New Mexico,39,Sam Houston State,31,consensus,62.5,-6.5,New Mexico -6.5
401110774,Auburn,24,Tulane,6,Caesars,51,-16.5,Auburn -16.5
401110774,Auburn,24,Tulane,6,consensus,51.5,-16.5,Auburn -16.5
401110774,Auburn,24,Tulane,6,numberfire,51.5,-16.5,Auburn -16.5
401110774,Auburn,24,Tulane,6,teamrankings,51.5,-15,Auburn -15
401110775,Florida,45,UT Martin,0,consensus,59.5,-44.5,Florida -44.5
401119257,Northern Illinois,24,Illinois State,10,consensus,42.5,-6.5,Northern Illinois -6.5
401119258,Western Michigan,48,Monmouth,13,consensus,73.5,-24.5,Western Michigan -24.5
401117858,Arkansas State,30,SMU,37,Caesars,57.5,-1.5,Arkansas State -1.5
401117858,Arkansas State,30,SMU,37,consensus,57.5,-1.5,Arkansas State -1.5
401117858,Arkansas State,30,SMU,37,numberfire,56.5,-2.5,Arkansas State -2.5
401117858,Arkansas State,30,SMU,37,teamrankings,58.5,-1.5,Arkansas State -1.5
401112106,Kansas State,49,Nicholls,14,consensus,47.5,-20.5,Kansas State -20.5
401112073,Baylor,56,Stephen F. Austin,17,consensus,57.5,-43.5,Baylor -43.5
401110728,Wyoming,37,Missouri,31,Caesars,54,16.5,Missouri -16.5
401110728,Wyoming,37,Missouri,31,consensus,53.5,17,Missouri -17
401110728,Wyoming,37,Missouri,31,numberfire,55.5,17.5,Missouri -17.5
401110728,Wyoming,37,Missouri,31,teamrankings,53.5,16.5,Missouri -16.5
